NOM,LIEU,MAIL
Voile et Vie,Saint-Hilaire-de-Riez,voileetvie@gmail.com
Saint Gilles Jet Ski,Saint-Gilles,stgillesjetski@gmail.com
AG Nautic,Saint-Gilles-Croix-de-Vie,agnauticvendee@gmail.com
Breti Loc Mer,Brétignolles-sur-Mer,info@bretilocmer.fr
Atlantic Jet Ski,Vendee,atlanticjetski85@gmail.com
Loc'Atlantique,Talmont-Saint-Hilaire,contact@loc-atlantique.com
Ouest Sea Zone,La Tranche-sur-Mer,ouestseazone@gmail.com
HydéO nautic,Pornic,contact@hydeonautic.fr
Espace Aventures,Pornic,espaceaventures@gmail.com
Le Brigantin,Hyères,bateaucroisiere.lebrigantin@gmail.com
Delta Jet,Loire-Atlantique,deltajet44@outlook.fr
Jet Ski Préfailles,Prefailles,jetski.prefailles@gmail.com
Cormorane,Saint-Michel-Chef-Chef,contact@cncormorane.com
Punch Croisières,Le Marin,contact@punch-croisieres.com
ACM Caraïbes,Le Bois-d'Oingt,commercial@acm-caraibes.com
RM Croisières,Le Marin,rmcroisieres@live.fr
Mermer Location,Le Marin,info@mermerlocation.com
Land and Sea,Les Trois-Îlets,contact@landandsea.fr
Boat and Chill,Les Trois-Îlets,contact@boatandchill.fr
Kata Mambo,Les Trois-Îlets,contact@kata-mambo.com
Alternative Sailing,La Trinité-sur-Mer,contact@alternative-sailing.com
Côte au Vent,Le François,contact@coteauvent.fr
Les Ballades du Delphis,Martinique,contact@catadelphis.com
Fonds Blancs Privilèg'G,Martinique,cagnet.gerald@hotmail.fr
Loisirs Nautiques Sainte-Anne,Sainte-Anne,loisirs.nautiques@gmail.com
Jet 7 Martinique,Martinique,jet7972@gmail.com
Régis Guillemot Charter,Le Marin,contact@regisguillemot.com
Tropic Voile,Saint-Pierre,contact@tropicvoile.fr
Skipper Antilles,Le Marin,skipperantillescharter@gmail.com
Gwada Marine,Gourbeyre,gwadamarine@outlook.fr
Uhaina Croisières,Guadeloupe,uhainacroisieres@gmail.com
Sun Jet Guadeloupe,Guadeloupe,contact@sunjet-guadeloupe.com
Jet Adventure Guadeloupe,Guadeloupe,jetadventure971@gmail.com
OceanMust,Gustavia,contact@oceanmustsbh.com
MasterSki Pilou,Gustavia,contact@masterski-pilou.com
Saint Martin Boat Charter,Saint-Martin,info@saint-martin-boat-charter.com
Love Boat SXM,,booking@loveboatsxm.com
Infinity Boat Charters,Saint-Martin,info@infinityboatcharters.com
Day Yacht Charters,,info@dayyachtcharters.com
Aquitaine Pêches Sportives,Arcachon,florent.surot@gmail.com
Lalule Christophe Lhamas,La Rochelle,christophe.lhamas@neuf.fr
Le Minot des Mers,Sausset-les-Pins,leminotdesmers@gmail.com
Captain Guillaume,Charente-Maritime,captainguillaume17@gmail.com
La Messaline,Les Sables-d'Olonne,bateau.messaline@gmail.com
Vendée Sports Océan,Brétignolles-sur-Mer,contact@vendeesportsocean.com
Catamaran Picardie,Picardie,contact@catamaranpicardie.com
Normandie Pêche Sportive,Creully-sur-Seulles,correjer@hotmail.fr
Aventure Pêche Bretagne,Roscoff,contact@aventurepechebretagne.com
Mickaël Rio Guide de Pêche,Morbihan,mickael.rio56@orange.fr
Pêche Evasion 22,Cotes-d'Armor,evasion-22@orange.fr
Speedfishing,Saint-Cyr-sur-Mer,speedfishing@dreams-group.fr
Quiberon Fishing,Quiberon,contact@quiberon-fishing.com
Latitude Peche,Hyères,latitudepeche@gmail.com
Croisière Saint-Jean-de-Luz,Saint-Jean-de-Luz,luzcroisiere@gmail.com
Santa-Maria Pêche,Concarneau,santamariapeche@wanadoo.fr
Cédro Guide de Pêche,Charente-Maritime,cedric.leturcq17@gmail.com
Normandie Seabass Addict,Le Havre,normandieseabassaddict@gmail.com
Médoc en Mer,Le Verdon-sur-Mer,contact@medoc-en-mer.fr
Maezya Fishing,Frontignan,maezyafishing@gmail.com
Fabien Fernandez Fishing,Marseillan,contact@fabien-fernandez-fishing.com
Sète Fishing 34,Sete,setefishing34@gmail.com
Peche Calanques,Cassis,peche.calanques@gmail.com
Pêche Belle-Ile,Belle-Ile,arnaud@peche-belleile.com
Obsession Pêche,Marseillan,contact@obsessionpeche.fr
Twin Pêche Sportive,Golfe-Juan,contact@twinpechesportive.fr
Pêche au Bar Morbihan,Arzon,lemareloic@gmail.com
Cordouan Pêche Évasion,Royan,info@cordouan-peche-evasion.com
Top'là,Arcachon,topla.location@gmail.com
Presqu'île Locations,Le Pouliguen,presquilelocations@gmail.com
JET LOCATIONS,Le Pouliguen,jetlocations@gmail.com
Jet n' Gliss,Piriac-sur-Mer,info@jet-gliss.fr
Flyjet33,Gironde,jetski@flyjet33.com
100% Jet-Ski,Saint-Georges-de-Didonne,contact@100pour100-jetski.fr
Le Croisic Boat,Le Croisic,contact@lecroisicboat.com
Dolphin Jet,Lège-Cap-Ferret,contact@dolphinjet.com
Bordeaux Jet,Bordeaux,contact@bordeauxjet.com
Elvine Plaisance,Arcachon,contact@elvineplaisance.fr
Jet 33,Gironde,jet33arcachon@yahoo.fr
Jet Fly Evasion,Soulac-sur-Mer,info@jetflyevasion.fr
Boat Access,Andernos-les-Bains,contact@boataccess.fr
Location Bateaux Gérardmer,Gerardmer,ronhi93@msn.com
Bateaux Monteynard,Monteynard,bateauxmonteynard@gmail.com
Plaisilac,Paladru,plaisilac@gmail.com
Rondin Parc,Lozere,contact@rondinparc.com
Bateau L'Étoile,Gérardmer,contact@bateau-letoile.fr
La Loc du Lac,Mayres-Savel,lalocdulac@gmail.com
Centre Sportif et Nautique de Soustons,Soustons,activites@isleverte.fr
Sancy Loisirs,Chambon,mireilledelmas1@gmail.com
Les Calicobas,Hourtin,lescalicobas@gmail.com
Pedaloun,Landes,pedaloun40@gmail.com
Loisirs et Sensations,Parentis-en-Born,loisirsandsensations@gmail.com
Bateau École de Maubuisson,Lacanau,bateauecole.maubuisson@live.fr
Grandeur Nature,Lozere,contact@grandeurnature48.com
Plein R Loc Paddle Center,Hourtin,plein.r.loc@live.fr
Chez Gisou Loisirs Nautiques,Finistere,sandra.vital29@icloud.com
Base Nautique de la Ganguise,Ganguise,cv.ganguise@gmail.com
Île Chambod,Hautecourt-Romanèche,contact@cerdonvalleedelain.fr
La Cabane au bord du Lac,Mizoën,dode.yannick@gmail.com
Base Natur'O Lac de Bouzey,Bouzey,contact@base-naturo.fr
Activital Lac des Settons,Settons,settons@activital.net
Pédaloc,Hourtin,pedaloc@yahoo.fr
École de Voile du Lac d'Aydat,Aydat,voile.aydat@clermontauvergnetourisme.com
Maubuisson Nautic,Maubuisson,tkgenevois@gmail.com
J'M Voile,Sanguinet,info@jmvoile.com
Base Nautique Savel Monteynard,Monteynard,bnsm.info@gmail.com
Locvoilier,Marseille,contact@locvoilier.com
Midi Nautisme,Marseille,info@midi-nautisme.com
Yachting Boat 13,Bouches-du-Rhone,contact@yachtingboat13.fr
Maritima Sailing,,info@maritima-sailing.com
MCS Catamarans,Sète,mcscatamarans@gmail.com
Vents de Mer,Redon,info@ventsdemer.fr
Yachting Events,Cassis,contact@yachting-events.com
EuroNautic Port-Camargue,Port-Camargue,euronautic30@gmail.com
Sud Plaisance,Marseille,sebastien.moutte@sud-plaisance-consulting.com
Seaways Yachting,Golfe-Juan,info@seaways-yachting.com
Bateau Mikael,Le Lavandou,trident.croisiere@gmail.com
Locasail,Bandol,marilyn@locasail.com
Blue Wave,Toulon,info@blue-wave.fr
Nomad Catamaran,Mandelieu-la-Napoule,info@nomadcatamaran.com
Catamaran Rina,Port-Vendres,catamaranrina@gmail.com
Evasion Yachting,Saint-Mandrier-sur-Mer,info@evasion-yachting.com
Catamaran Longo Mai,Sete,contact@catamaran-longomai-sete.fr
Sete Croisieres,Sete,setecroisieres@aol.com
Multi-Croisieres,Macinaggio,contact@multicroisieres.com
Dream Yacht Charter,Saint-Mandrier-sur-Mer,contact@dreamyachtcharter.com
Catamaran Lucile Experience,La Grande-Motte,accueil@catamaran-lucile-experience.com
AllBoatLocation,La Reunion,allboat974@gmail.com
JetSki974,La Reunion,contact@jetski974.com
Lady la Fée,Saint-Paul,contact@ladylafee.re
Catamaran Maloya,Le Port,contact@fyb.re
Namaste Catamaran,Le Port,info@namastecatamaran.re
Grand Bleu Croisières Découvertes,Saint-Gilles,resa@grandbleu.re
Total JetSki,,webmaster@totaljetski.fr
Funky Jet,Saint-Leu,contactfunkyjet@gmail.com
Creolialoc,La Reunion,creolialoc974@gmail.com
CocoBoat Mayotte,Mayotte,cocoboatmayotte@gmail.com
Maore Jet,Dzaoudzi,contact@maorejet.com
Lagon Aventure,Pamandzi,lagonaventure@gmail.com
Sea Blue Safari,Mamoudzou,seabluesafari@orange.fr
Lagon Maore,Jard,contact@jardinmaore.com
San Paulu,Lège-Cap-Ferret,sanpaulu@orange.fr
CNC Chantiers Navals de Calvi,Calvi,info@cncalvi.com
Jet Loc Balagne,L'Île-Rousse,info@jetloc.fr
Presta Corsica,Solenzara,prestacorsica@gmail.com
Balagne Aventures Corsica,Lumio,infos@balagne-aventures-corsica.com
Nautimarine,L'Île-Rousse,nautimarine@nautimarine.com
MA Nautic,Saint-Florent,contactmanautic@gmail.com
CSLN Cassis Kayak,Cassis,reservation.csln@gmail.com
La Cabane à Gliss,Palavas-les-Flots,lacabaneagliss@orange.fr
Yak'Ocean,Arcachon,contact@yakocean.com
Surf and SUP House,Lège-Cap-Ferret,salsifi.ass@gmail.com
Glaz Évasion,Plouguerneau,glazevasion@gmail.com
Emeraude Aventure,Saint-Malo,contact@emeraude-aventure.com
Cotentin Kayak,Cherbourg-en-Cotentin,cotentin.kayak@wanadoo.fr
ASN Quiberon,Quiberon,contact@asnquiberon.com
Antioche Kayak,Fouras,kayakdemer@antioche-kayak.com
Aqua Sport Evasion,Blonville-sur-Mer,csplocation@gmail.com
NaturEvasion,Saint-Antonin-du-Var,s.fichera@naturevasion.com
Cercle de Voile du Cap Leucate,Leucate,contact.voile@cercledevoile.com
Salicorne SUP,Saint-Pierre-d'Oléron,salicorne.sup@gmail.com
La Cabane Verte,Le Bois-Plage-en-Ré,lacabaneverte@gmail.com
Cas'Eneuve Maxi Catamaran,Cogolin,contact.catarose@gmail.com
Paddle Escap'Agde,Agde,paddleescapagde@gmail.com
PNVB,Cannes,contact.pnvb@gmail.com
Kayak Attitude Marseille,Marseille,kayakattitude@yahoo.fr
Eolia Normandie Omaha Beach,Colleville-sur-Mer,omaha-beach.eolia-normandie@orange.fr
LOKAYAK,Cassis,contact@lokayakcassis.com
Calanc'O Kayak Paddle,,contact@calanco-kayak-paddle.com
Diabolo Fun,Saint-Denis-d'Oléron,contact@diabolofun.com
Oléron Stand Up Paddle,Oleron,oleron.sup@gmail.com
Base Nautique de Théoule sur Mer,Theoule-sur-Mer,base.nautique@ville-theoulesurmer.fr
CFC Voilier Location,La Trinité-sur-Mer,info@voilier-location.com
Belle Croisière,La Baule,info@belle-croisiere.com
Yacht Gavrinis,Vannes,capitaine@yacht-gavrinis.com
47 Nautik,Séné,contact@47nautik.com
GMC Voile,Vannes,contact@gmcvoile.fr
SAILOE,Larmor-Plage,charter@sailoe.com
Voiles d'Exception,Marseille,contact@voilesdexception.com
Etoile Marine Croisieres,Le Marin,saintmalo@etoile-marine.com
Pytheas Sailing,Saint-Malo,pytheas.sailing@gmail.com
Des Voiles et des Catas,Arcachon,voile.catas@gmail.com
PZ Sailing,La Rochelle,contact@pzsailing.fr
Cap au Large,Sète,contact@capaularge.com
FreeSailing,La Rochelle,contact@freesailing.fr
Yaka Partir,La Rochelle,bonjour@yakapartir.com
La Voile Pour Tous,La Rochelle,lavoilepourtous@orange.fr
Sail Away Voilier et Croisiere,La Rochelle,contact@sail-away.fr
La Baule Nautic,La Baule,info@labaulenautic.com
Téléski Nautique du Gers,Gers,tngcablepark@gmail.com
Parasailing 66,Pyrenees-Orientales,parasailing66@gmail.com
Cannes Parachute,Cannes,cannesparachute@gmail.com
Le Plan d'Eau Ski Nautique Cazaux,La Teste-de-Buch,raoul.gabriel@me.com
WAM PARK,Porte-de-Savoie,contact@wampark.fr
Téléski Nautique 44,Loire-Atlantique,contact@tsn44.com
WakePark Plessé,Plessé,contact@wakeparkplesse.com
La Source Wake Park,Carbonne,contact@lasourcewakepark.fr
BZH Wakepark,Dolo,bzhwakepark@gmail.com
Amiens Cable Park,Amiens,contact@amienscablepark.com
Sanguinet Wake School,Sanguinet,sanguinetwakeschool@gmail.com
Ski Nautique Club Sevrier Annecy,Annecy,contact@annecyskinautique.com
H2O Kite Biscarrosse,Biscarrosse,contact@h2okite.com
Wake Arena Annecy,Annecy,contact@wakearena-annecy.com
Osmosia Wakepark,Virelade,gradttom@gmail.com
Ski Club Nautique de Serre-Ponçon,Serre-Poncon,scnsp05@gmail.com
Nautic B Serre-Ponçon,Serre-Poncon,nauticbaie@gmail.com
Sports et Loisirs Nautiques du Ponant,La Grande-Motte,slnpgdm@yahoo.fr
Lakecity,Mios,contact@lakecity.fr
Dahu Wake Park,Sablons,reservation@dahuwakefamily.com
Paradise Water Sports,Mandelieu-la-Napoule,contact@paradise-water-sports.fr
Location Picardie Boat,Picardie,locationpicardieboat@gmail.com
O'Paddle d'Olt,Sainte-Eulalie-d'Olt,opaddledolt@gmail.com
Safari Aïd,Vayrac,safaraid@wanadoo.fr
Ardennes Nautisme Pont à Bar,Dom-le-Mesnil,info@ardennes-nautisme.com
Kuhnle Tours,Niderviller,info@kuhnle-tours.de
Les Canotiers,Port-d'Envaux,contact@les-canotiers.fr
Rand'eau Loisirs,Moissac,randeau-ck@wanadoo.fr
Albi Croisières,Albi,contact@albi-croisieres.com
Port de Roanne,Roanne,port.roanne.eau@suez.com
Le Héron des Raspes,Le Viala-du-Tarn,contact@herondesraspes.fr
Le Duc des Chauvières,Château-Gontier-sur-Mayenne,contact@leducdeschauvieres.com
Doubs Plaisance,Besançon,doubsplaisance@sdh-epsms.fr
Aventure Nautique 72,Sarthe,aventurenautique72@gmail.com
Les Croisières de Saint-Cirq-Lapopie,Bouziès,fanny@lot-navigation.com
Bateaux Sans Permis,Montpellier,contact@bateaux-sans-permis.com
Filovent,Boulogne-Billancourt,info@filovent.com
L'Atelier de la Mer,Marseille,info@atelierdelamer.com
Atoll Plongée,Marseille,info@atollplongee.com
Cassis Calanques Plongée,Cassis,contact@cassis-calanques-plongee.com
Narval Plongée,Cassis,fabienne2k6@narval-plongee.fr
GPES,La Ciotat,contact@gpes.fr
Bandol Plongée,Bandol,contact@bandol-plongee.com
Club Plongée de Saint Mandrier,Saint-Mandrier,cpsm83430@gmail.com
Saphir Plongée,Hyères,info@saphirplongee.fr
Mio Palmo Plongée,Hyères,hyeres@miopalmoplongee.com
Lavandou Plongée,Le Lavandou,info@lavandou-plongee.com
Agathonis Plongée,Saint-Raphaël,contact@agathonisplongee.com
Clem Plongée,Saint-Raphaël,clemplongee@mail.com
Bleu Plongée Antibes,Antibes,contact@bleuplongeeantibes.org
Nice Diving,Nice,nicediving@gmail.com
CIP de Nice,Nice,info@cip-nice.com
Rand'eau Évasion,Villefranche-sur-Mer,contact@randeauevasion.com
Eurêka Plongée,Cap d'Agde,contact@eurekaplongee.com
Abyss Plongée,Cap d'Agde,contact@abyssplongee.com
CAPES Plongée,Cap d'Agde,xav_plonge@yahoo.fr
Plongée Bleue,Banyuls-sur-Mer,contact@plongeebleue.com
Isula Plongée,Ajaccio,isula-plongee@orange.fr
A l'Eau Plongée,Ajaccio,contact@aleauplongee.com
Maeva Plongée,Porticcio,maeva.plongee@gmail.com
Bonifacio Plongée,Bonifacio,contact@bonifacioplongee.corsica
Oxygène Plongée,Porto-Vecchio,oxygeneplongee@gmail.com
Porto-Vecchio Plongée,Porto-Vecchio,contact@portovecchioplongee.fr
Kalliste Plongée,Porto-Vecchio,info@lekalliste-plongee.corsica
Calvi Plongée,Calvi,calviplongee@gmail.com
Epic Plongée,Calvi,info@epic-plongee.com
Actisub,Saint-Florent,actisub@yahoo.fr
Cercle Nautique de Loctudy,Loctudy,info@cnloctudy.com
Centre Nautique du Guilvinec,Le Guilvinec,centrenautiqueduguilvinec@gmail.com
Centre Nautique Fouesnant Cornouaille,Fouesnant,contact@cnfc.fr
Centre Nautique d'Erquy,Erquy,cnerquy@gmail.com
Centre Nautique de Pleneuf-Val-Andre,Pléneuf-Val-André,accueil@cnpva.com
Centre Nautique de Saint-Cast,Saint-Cast-le-Guildo,contact@centre-nautique-saint-cast.fr
Cercle Nautique de la Ria d'Etel,Étel,contact@cercle-nautique-etel.fr
Ecole de Voile du Fogeo,Arzon,contact@lefogeo.com
Surf School Saint-Malo,Saint-Malo,contact@surfschool.org
OSEN Saint-Malo,Saint-Malo,contact@osensaintmalo.fr
Wishbone Club Dinard,Dinard,wcdinard@gmail.com
Yacht Club Saint Lunaire,Saint-Lunaire,ycsl@ycsl.net
Centre Nautique Est Cotentin,Saint-Vaast-la-Hougue,contact@centre-nautique-est-cotentin.fr
Centre Nautique de la Cote d'Albatre,Veulettes-sur-Mer,port@cote-albatre.com
Voiles de Nacre,Langrune-sur-Mer,contact@voilesdenacre.fr
Centre Nautique OCEAN,Ouistreham,contact.ocean14@gmail.com
Pole Nautique de l'Estuaire de la Dives,Dives-sur-Mer,polenautique@ncpa.fr
Yacht Club Boulonnais,Boulogne-sur-Mer,contact@ycb.fr
Centre Nautique de la Baie de Canche,Le Touquet,voile@letouquet.com
Alizé Arnaud Surf School,Hossegor,contact@alizearnaudsurfschool.com
Hossegor Surf Club,Hossegor,contact@hossegor-surfclub.com
Capsurf,Capbreton,contact@capsurf.com
Les Vagues Surf,Capbreton,lesvaguessurf@gmail.com
Aloha École de Surf,Seignosse,contact@aloha-ecoledesurf.com
Authentique École de Surf,Seignosse,contact@authentique-ecoledesurf.com
L'Esquiro Surf Shop,Seignosse,lesquiro40510@orange.fr
La Vague Basque,Biarritz,vaguebasque@yahoo.fr
Lagoondy,Biarritz,contact@lagoondy.com
Bidart Surf Academy,Bidart,bidartsurfacademy@gmail.com
Rainbow Surf School,Anglet,contact@ecoledesurf-rainbow.com
Ecole de Surf Côte Française,Anglet,anglet@ecoledesurf.com
NewSchool Surf,Hendaye,info@newschoolsurf.com
Ecole de Surf Hendaia,Hendaye,info@ecoledesurf-hendaye.com
Ecole de Surf Quiksilver Saint-Jean-de-Luz,Saint-Jean-de-Luz,info.ecoledesurf@gmail.com
Hurley Surf Club,Lacanau,contact@ecoledesurf-lacanau.com
Big Mama Surfschool,Lacanau,bigmamasurfschool@gmail.com
Matahari Surf School,Lacanau,mataharisurfshop@gmail.com
Cap Ferret Surf School,Lège-Cap Ferret,info@capferretsurfschool.com
Ecole Surf Grand Crohot,Lège-Cap Ferret,grandcrohotsurfschool@gmail.com
ESCF Ecole Surf Cap Ferret,Lège-Cap Ferret,surf-cap-ferret@hotmail.fr
Sama-Sama Ecole de Surf Mimizan,Mimizan,sama.sama.mimizan@gmail.com
La Vigie,Biscarrosse,lavigie-surf40@wanadoo.fr
Octopus Glisse,Les Sables-d'Olonne,octopusglisse@gmail.com
Riding Factory,Saint-Hilaire-de-Riez,contact@ridingfactory.fr
SG Surf,Saint-Gilles-Croix-de-Vie,contact@sg-surf.com
Surfing Saint-Gilles,Saint-Gilles-Croix-de-Vie,contact@surfing-stgilles.com
La Vagabonde Surf School,Saint-Gilles-Croix-de-Vie,contact@lavagabondesurfschool.fr
Nature School Quiberon,Saint-Pierre-Quiberon,natureschoolquiberon@gmail.com
ESB La Torche,Plomeur,info@twenty-nine.com
La Base Nautique de Saint-Jean-de-Monts,Saint-Jean-de-Monts,nautisme@saint-jean-de-monts.com
Maximum Glisse,L'Épine,contact@maximumglisse.com
Ocean Players Ecole de Voile du Bouil,Longeville-sur-Mer,contact@oceanplayers.fr
Hissez-Haut École de Voile,Barbâtre,hissez.haut.barbatre@gmail.com
SEMVIE Nautisme Base de Boisvinet,Saint-Gilles-Croix-de-Vie,contact@saintgillescroixdevie-nautisme.fr
Wave School,La Tranche-sur-Mer,waveschool85@gmail.com
Centre Nautique de Saint-Brévin,Saint-Brévin-les-Pins,centrenautique@saint-brevin.fr
Cercle Nautique La Baule Le Pouliguen Pornichet,Le Pouliguen,contact@cnbpp.fr
Club Nautique de Mazerolles,Sucé-sur-Erdre,contact@cnmaz.fr
Yacht Club Oléron,Saint-Denis-d'Oléron,bureauyco@gmail.com
Wind Oléron Club,Dolus-d'Oléron,info.windoleronclub@gmail.com
Base Nautique La Palmyre,Les Mathes,contact@basenautiquelapalmyre.com
Centre Nautique Charline Picon,La Tremblade,nautisme@latremblade.fr
Club Nautique Rochefortais,Rochefort,contact@cnrochefort.fr
Club Nautique de Port des Barques,Port-des-Barques,cnpb17@gmail.com
Cercle Nautique de Fouras,Fouras-les-Bains,cerclenautiquefouras@netc.fr
Club Nautique de Châtelaillon-Plage,Châtelaillon-Plage,info@cn-cp.fr
Cercle de la Voile d'Arcachon,Arcachon,contact@voile-arcachon.org
Voile Lacanau Guyenne,Lacanau,cvlg@orange.fr
Chamoulou,Lacanau,chamouxantoine@gmail.com
Nautilclub,Gastes,postmaster@nautilclub.com
Pôle Nautique de Soustons Plage,Soustons,pnsp-direction@orange.fr
Yacht Club Landais,Hossegor,accueil.yachtclublandais@gmail.com
Yacht Club Basque,Saint-Jean-de-Luz,contact@ycbasque.org
Spi en Tête,Hendaye,haizea@spientete.com
École de Voile Municipale de Brétignolles,Brétignolles-sur-Mer,ecoledevoile@bretignollessurmer.fr
Club de Voile de Bonifacio,Bonifacio,info@ecole-windsurf.com
La Voile de Cavalière,Le Lavandou,contact@lavoilecavaliere.com
Club Var Mer,Saint-Laurent-du-Var,contact@clubvarmer.fr
Cercle de Voile de Marseillan,Marseillan,cvmarseillan@free.fr
Société des Régates d'Antibes,Antibes,ecoledevoile@sr-antibes.fr
Yacht Club de la Grande Motte,La Grande-Motte,ycgm@ycgm.fr
International Yacht Club de Hyères,Hyères,iych@orange.fr
COYCH,Hyères,contact@coych.org
Cercle Nautique de Palavas,Palavas-les-Flots,cn.palavas@wanadoo.fr
Base Nautique Mare e Vela,Coti-Chiavari,mare.e.vela@orange.fr
Société Nautique de La Ciotat,La Ciotat,base-nautique13@orange.fr
Centre Nautique Municipal de Saint-Raphaël,Saint-Raphaël,centre.nautique@ville-saintraphael.fr
Société Nautique de Narbonne,Narbonne,contact@snnarbonne.com
Club Nautique de Saint-Raphaël,Saint-Raphaël,club@cnsr.fr
Yacht Club de Six-Fours,Six-Fours-les-Plages,contact@ycsixfours.com
Société Nautique de Bandol,Bandol,club@snbandol.com
Centre Nautique de Saint-Mandrier,Saint-Mandrier-sur-Mer,contact@cn-saintmandrier.fr
Yacht Club Pointe Rouge,Marseille,secretariat@ycpr.net
Centre Nautique Les Voiles de Lérins,Mandelieu-la-Napoule,centrenautique@mairie-mandelieu.fr
Club Nautique Canet Perpignan,Canet-en-Roussillon,contact@voileca.net
Centre Nautique de la Ville de Sète,Sète,centrenautique@ville-sete.fr
Club Nautique de Macinaggio,Macinaggio,zamur@wanadoo.fr
Pôle Nautique Gruissan Méditerranée,Gruissan,gruissan@akila-centers.com
Club Nautique de Port-Miou,Cassis,cnpm@sfr.fr
Yacht Club de Villeneuve-Loubet,Villeneuve-Loubet,contact@ycvl.fr
Centre Nautique de la Ville de Menton,Menton,contact@voile-menton.fr
Club Nautique de Sainte-Maxime,Sainte-Maxime,cnsm83021@gmail.com
Hippo École de Plongée,Lège-Cap-Ferret,contact@plongeehippo.com
Sam Diving,Soubise,samdiving@orange.fr
PlanetOcean,Hendaye,contact@planetocean.fr
Odyssée Bleue Socoa,Ciboure,odysseebleuesocoa@live.fr
Centre Haliotis Plongée,Saint-Pierre-Quiberon,contact@haliotisplongee.com
Koréjou Plongée,Saint-Pabu,korejouplongee@wanadoo.fr
Centre de Plongée ISA,Crozon-Morgat,centre.isa@gmail.com
CSAM Plongée,Brest,csamplongee29@gmail.com
Saint-Malo Plongée Émeraude,Saint-Malo,infos@saintmaloplongee.com
CSCE Saint-Malo,Saint-Malo,cscestmalo-webmaster@outlook.fr
Le Nautilus Plongée Île de Ré,Saint-Martin-de-Ré,nautilus.plongee.re@gmail.com
ABC Dive,Les Trois-Îlets,abcdive972@gmail.com
Martinique-Plongée,Les Trois-Îlets,martiniqueplongee972@gmail.com
DIAJ Plongée,Le Carbet,diaj.plongee@gmail.com
CIP Guadeloupe,Bouillante,contact@guadeloupe-cip.com
Atlantis Plongée,Bouillante,contact@atlantisplongee.com
Nautica Plongée Caraïbes,Bouillante,contact@nauticaplongee.fr
PPK Plongée,Bouillante,ppkplongee@orange.fr
Gecko Bleu,Saint-Gilles-les-Bains,geckobleuplongee@gmail.com
Escapade Plongée,Saint-Gilles-les-Bains,contact@escapadeplongee.com
Plongée Salée,L'Étang-Salé,contact@plongeesalee.com
Scubananas Réunion Plongée,Saint-Leu,contact@reunionplongee.com
Le Lagon Maoré,Chirongui,info@lagonmaore.com
Nyamba Club,Pamandzi,nyamba-club@orange.fr
CSH Granville-Chausey,Granville,communication-granville@jeplonge.org
ASAL Plongée,Lorient,asal.plongee@gmail.com
Pisquettes,Terre-de-Haut,plongee@pisquettes.com
La Plongée Caribéenne,Saint-François,jml@plongeeguadeloupe.com
Donville Évasion Plongée,Granville,donvilleevasionplongee@gmail.com
Compagnie des Bateaux Lyonnais,Lyon,contact@lesbateauxlyonnais.com
Modulo,Lyon,commercial@restaurant-modulo.fr
Lyon By Boat,Lyon,contact@lyonbyboat.com
Péniche Le Royal,Bordeaux,contact@penicheleroyal.fr
Batorama,Strasbourg,event@batorama.com
Bateaux de l'Ill,Strasbourg,bateauxdelill@gmail.com
Les Bateaux Toulousains,Toulouse,contact@bateauxtoulousains.com
Péniche Saint-Louis,Toulouse,contact@peniche-saint-louis.fr
Bateaux Nantais,Nantes,communication@bateaux-nantais.fr
Nantalot,Nantes,contact@nantalot.fr
Marine et Loire,Nantes,contact@marineetloire.fr
Péniche Carpe Diem,Nantes,captain@carpediem-nantes.fr
Péniche Laléa,Wambrechies,contact@peniche-lalea.fr
La Compagnie des Bateaux de Metz,Metz,contact@ciebateauxdemetz.com
Les Grands Bateaux de Provence,Avignon,contact@bateauxprovence.com
Compagnie des Bateaux du Lac d'Annecy,Annecy,info@bateaux-annecy.com
Compagnie des Bateaux du Lac d'Aix-les-Bains,Aix-les-Bains,info@bateaux-aixlesbains.com
Péniche-Hôtel C'est La Vie,Saint-Léger-sur-Dheune,cestlaviebarge@gmail.com
Péniche-Hôtel La Luciole,Auxerre,info@bargeluciole.com
Bourgogne Catamaran,Seurre,contact@bourgognecatamaran.fr
La Péniche Angers,Angers,asm44@live.fr
Bateau Promenade L'Hirondelle,Chenillé-Changé,reservation@domaine-moulin.fr
Les Vedettes Jaunes,Arzal,contact@vedettesjaunes.com
Roanne Plaisance,Roanne,hervepetelet@gmail.com
Kite-Surf Leucate,La Franqui,ecole.kitesurfleucate@gmail.com
Direct Wind,La Franqui,adrenalinedw@gmail.com
EBKite,La Palme,ebkite@gmail.com
Kite School Leucate,Leucate,hello@kiteschool-leucate.com
Surfone Leucate,Leucate,contact@surfone.fr
Tendance Kite,Sigean,tendancekite@gmail.com
Glisse et Kite,Saint-Pierre-la-Mer,accueil@glisseetkite.com
SurfandKite,Le Barcarès,surfandkite66@gmail.com
ID-Kite,Sète,idkite34@gmail.com
Ventileau,Marseillan,contact@ventileau.com
Fildair,Mèze,contact@fildair.com
Kithau,Marseillan,francois@kithau.com
Kite Family,Marseillan,infos@ecolekitefamily.com
MF Kite,Hyères,contact@mfkite.com
Kitextrem,Hyères,contact@kitesurf-hyeres.com
SpinOut,Giens,info@spinout.fr
Wing et Kite,Hyères,wing.kite83@gmail.com
Kite Center 83,Hyères,kitecenter83@gmail.com
